Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Puducherry,India,41468,682,39712.0,1074.0,2933.6234791750085,1.6446416513938458
Puerto Rico,United States,104132,0,76712.04224314148,27419.95775685853,2784.816551552253,0.0
Puglia,Italy,193012,4812,141343.0,46857.0,4790.505361929962,2.493109236731395
Pulau Pinang,Malaysia,16067,21,14730.0,1316.0,903.8591359135912,0.1307026825169602
Punjab,India,239734,6868,209034.0,23832.0,795.3652277220417,2.8648418664019286
Punjab,Pakistan,223181,6427,189856.0,26898.0,202.86887186814744,2.8797254246553248
Putumayo,Colombia,8204,324,7732.0,148.0,2356.238978465285,3.949293027791321
Qinghai,China,18,0,18.0,0.0,0.3038509563793255,0.0
Quebec,Canada,311776,10667,291906.0,9203.0,3623.408462669802,3.4213666221902903
Queensland,Australia,1477,6,1343.0,128.0,28.87303293910664,0.4062288422477996
Quindio,Colombia,34536,1021,33016.0,499.0,6396.692745376956,2.9563354181144312
Rajasthan,India,333149,2818,321668.0,8663.0,411.1291432029363,0.8458677648739753
Reunion,France,16586,115,14828.0,1643.0,1852.546833045164,0.6933558422766188
Rheinland-Pfalz,Germany,116799,3328,104800.0,8671.0,2849.8744995292054,2.849339463522804
Rhode Island,United States,124929,2596,90120.36899061024,32212.631009389763,9561.029720905231,1.94896182796156
Rio Grande do Norte,Brazil,197809,4548,142776.0,48978.0,5596.499197428578,2.296431792358135
Rio Grande do Sul,Brazil,845380,19736,801198.0,24446.0,7430.44951415717,2.334571435330857
Risaralda,Colombia,48878,1213,46718.0,947.0,5181.041783928574,2.481689103482139
Rivne Oblast,Ukraine,57724,747,50901.0,6076.0,4987.812159498696,1.2940891137135333
Rondonia,Brazil,187270,4143,164607.0,18520.0,10537.21391495168,2.21231377155978
Roraima,Brazil,89853,1346,84118.0,4066.0,14778.930964522311,1.4979056129572743
Rostov Oblast,Russia,80836,3577,72661.0,4598.0,1915.339873549089,4.42500865950814
Ryazan Oblast,Russia,26315,366,24363.0,1586.0,2346.465455284741,1.3908417252517575
Saarland,Germany,31968,940,29590.0,1438.0,3248.81020253234,2.9404404404404403
Sabah,Malaysia,54768,392,53870.0,506.0,1402.6173585678798,0.7157464212678937
Sachsen,Germany,222287,8373,197600.0,16314.0,5479.177537952856,3.766751991794392
Sachsen-Anhalt,Germany,73326,2742,64430.0,6154.0,3362.5229515142955,3.739464855576467
Saga,Japan,1189,13,1160.0,16.0,145.9413215238287,1.0933557611438185
Saint Barthelemy,France,857,1,462.0,394.0,8669.701568032373,0.116686114352392
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,4,0,4.0,0.0,70.65889418830595,0.0
Saint Petersburg,Russia,394631,12270,347480.0,34881.0,7373.613468773444,3.1092336891931955
Saint Pierre and Miquelon,France,24,0,24.0,0.0,414.1501294219154,0.0
Saitama,Japan,32825,700,30655.0,1470.0,446.6172940828957,2.1325209444021325
Sakha (Yakutiya) Republic,Russia,33565,550,32445.0,570.0,3480.6549625128328,1.6386116490391778
Sakhalin Oblast,Russia,22001,39,21662.0,300.0,4488.342061401809,0.1772646697877369
Samara Oblast,Russia,55731,1098,52443.0,2190.0,1745.1309122177013,1.970178177316036
San Andres y Providencia,Colombia,2758,45,2700.0,13.0,4500.65274151436,1.6316171138506164
Santa Catarina,Brazil,806929,10885,769659.0,26385.0,11262.426745913486,1.3489414806011433
Santander,Colombia,94452,3490,89317.0,1645.0,4323.068494354498,3.6949985177656375
Sao Paulo,Brazil,2469849,74652,2120478.0,274719.0,5378.702420426869,3.022532956468189
Saratov Oblast,Russia,54784,815,49483.0,4486.0,2224.3244889258817,1.4876606308411215
Sarawak,Malaysia,16390,108,13740.0,2542.0,581.5975302508782,0.6589383770591825
Sardegna,Italy,45503,1234,29872.0,14397.0,2775.2652948204764,2.711909104894183
Saskatchewan,Canada,33590,436,31199.0,1955.0,2846.9865507643385,1.2980053587377196
Schleswig-Holstein,Germany,49996,1436,44490.0,4070.0,1717.5591531755915,2.8722297783822706
Scotland,United Kingdom,218432,7602,0.0,210830.0,3998.169604451522,3.480259302666276
Selangor,Malaysia,116080,332,110514.0,5234.0,1774.4080465919687,0.2860096485182632
Sergipe,Brazil,174600,3501,158658.0,12441.0,7595.610728865409,2.0051546391752577
Sevastopol*,Ukraine,13228,562,12210.0,456.0,2984.5829638704818,4.248563652857575
Shaanxi,China,567,3,553.0,11.0,1.4343899778489204,0.5291005291005291
Shandong,China,870,7,862.0,1.0,0.856911085910921,0.8045977011494253
Shanghai,China,1885,7,1833.0,45.0,7.5791401957991456,0.3713527851458886
Shanxi,China,241,0,240.0,1.0,0.690235566801972,0.0
Shiga,Japan,2770,55,2617.0,98.0,195.90605844790065,1.985559566787004
Shimane,Japan,287,0,285.0,2.0,42.55975419146847,0.0
Shizuoka,Japan,5715,118,5346.0,251.0,156.85346729872805,2.064741907261592
Sichuan,China,948,3,927.0,18.0,1.1329566993271314,0.3164556962025316
Sicilia,Italy,175354,4628,150806.0,19920.0,3507.156456010741,2.639232637978033
Sikkim,India,6235,135,6053.0,47.0,903.2945986315124,2.165196471531676
Sindh,Pakistan,265680,4502,256276.0,4902.0,554.8171011219948,1.6945197229750075
Sint Maarten,Netherlands,2147,27,2078.0,42.0,5006.762744274987,1.2575687005123428
Skane,Sweden,124024,1643,0.0,122381.0,9001.420352482568,1.3247435980132878
Smolensk Oblast,Russia,28168,758,26842.0,568.0,2967.0889916026576,2.690996875887532
Sormland,Sweden,17511,420,0.0,17091.0,5885.259124823553,2.3984923762206614
South Australia,Australia,656,4,640.0,12.0,37.346996868773125,0.6097560975609756
South Carolina,United States,551630,9146,399637.53240337607,142846.4675966239,10605.233044904307,2.085908704248884
